ID PLU 210013,Medio,url website,Nac/Loc/HLoc,Región Origen,Comuna Origen,Propiedad Legal,Twitter,Facebook,Instagram,Personero-Propiedad,Origen medial,Plataformas mediales,Youtube,Plataformas mediales,
1,Mega,https://www.meganoticias.cl/,N,Metropolitana,Ñuñoa,Bethia,https://twitter.com/meganoticiascl,https://www.facebook.com/meganoticiascl/,https://www.instagram.com/meganoticiascl/,Liliana Solari,Canal TV,TvAbierta,https://www.youtube.com/user/programasmega?sub_confirmation=1,TvAbierta,
2,24 Horas Noticias,http://www.24horas.cl/,N,Metropolitana,Providencia,Estado Chileno,https://twitter.com/24HorasTVN,https://www.facebook.com/24horascl/,https://www.instagram.com/24horascl/,Estado de Chile,Canal TV,"Tv cable, web",https://www.youtube.com/user/24HORAS,"Tv cable, web",
3,Chilevisión Noticias,https://www.chvnoticias.cl/,N,Metropolitana,Providencia,Time Warner,https://twitter.com/CHVNoticias,https://www.facebook.com/chvnoticias/,https://www.instagram.com/chvnoticias/,,Canal TV,"Tv,Web",https://www.youtube.com/playlist?list=PLZYuYh8iiqkYBF2s6vXlDk-chjORTgLW-,"Tv,Web",
4,CNN Chile,https://www.cnnchile.com/,N,Metropolitana,Huechuraba,Time Warner,https://twitter.com/CNNChile,https://www.facebook.com/cnnchile/,https://www.instagram.com/cnnchile/,,Canal TV,"Tv cable, web",https://www.youtube.com/user/cnnchile,"Tv cable, web",
5,Publimetro Chile,https://www.publimetro.cl/cl/,N,Metropolitana,Las Condes,Metro International,https://twitter.com/PublimetroChile,https://www.facebook.com/publimetro/,https://www.instagram.com/publimetrochile/,Pablo Mazzei P.,Diario Papel,"Papel, digital, WebTv",https://m.youtube.com/user/PublimetroChileVideo,"Papel, digital, WebTv",
6,Diario Financiero,www.df.cl,N,Metropolitana,Las Condes,Grupo Claro,https://twitter.com/DFinanciero,https://www.facebook.com/DiarioFinanciero/,https://www.instagram.com/diariofinanciero/,Ricardo Claro Valdez,Diario Papel,"Papel, digital, WebTv",https://www.youtube.com/user/DiarioFinancieroTV,"Papel, digital, WebTv",
7,La Tercera,http://www.latercera.com/,N,Metropolitana,Santiago,Grupo Copesa,https://twitter.com/latercera,https://www.facebook.com/laterceracom/,https://www.instagram.com/laterceracom/,Alvaro Sahie,Diario Papel,"Papel, Digital, WebTv",https://www.youtube.com/user/latercera,"Papel, Digital, WebTv",
8,The Clinic,www.theclinic.cl,N,Metropolitana,Santiago,Ediciones y Publicaciones Bobby S.A. ,https://twitter.com/thecliniccl,https://www.facebook.com/thecliniconline/,https://www.instagram.com/theclinic_cl/,Pablo Dittborn,Diario Papel,Portal Internet-Diario papel-Revista,https://www.youtube.com/c/TheClinicVideos,Portal Internet-Diario papel-Revista,
9,Prensa Futbol,http://www.prensafutbol.cl/,N,Metropolitana,Santiago,N.E,https://twitter.com/PrensaFutbol,https://www.facebook.com/prensafutbolcl/,https://www.instagram.com/prensafutbol/,,Periodico Digital,"Aplicación movil, F.P",https://www.youtube.com/channel/UC54jOVhCPlXVDT1bAStD8qA,"Aplicación movil, F.P",
10,El Dínamo,www.eldinamo.cl/,N,Metropolitana,Providencia,Ediciones Giro País SpA,https://twitter.com/el_dinamo,https://www.facebook.com/el.dinamo/,https://www.instagram.com/el_dinamo/,Walter Oliva,Periodico Digital,Digital,https://www.youtube.com/user/Eldinamocl/videos,Digital,
11,El Mostrador,www.elmostrador.cl/,N,Metropolitana,Santiago,La Plaza S.A.,https://twitter.com/elmostrador,https://www.facebook.com/elmostrador/,https://www.instagram.com/el_mostrador/,Pdte: German Olmedo Acevedo,Periodico Digital,Digital,https://www.youtube.com/user/mostradortelevision,Digital,
12,El Líbero,http://ellibero.cl,N,Metropolitana,Santiago,Sociedad Periodistica El Libero S.A.,https://twitter.com/elliberocl,https://www.facebook.com/ElLibero/,https://www.instagram.com/elliberocl/," Gabriel Ruiz-Tagle, Hernán Büchi, José Antonio Guzmán",Periodico Digital,Digital,https://www.youtube.com/channel/UCbZNo0dHLynunjSpvdAEJDA/featured,Digital,
13,El Ciudadano,www.elciudadano.cl,N,Metropolitana,Recoleta,Sociedad Periodística El Ciudadano,https://twitter.com/El_Ciudadano,https://www.facebook.com/PeriodicoElCiudadano/,https://www.instagram.com/el.ciudadano/,Bruno Sommer,Diario Papel,"Papel, digital, WebTv",https://www.youtube.com/user/ciudadanotv,"Papel, digital, WebTv",
14,El desconcierto,www.eldesconcierto.cl/,N,Metropolitana,Providencia,Ediciones y Publicaciones El Buen Aire S.A.,https://twitter.com/eldesconcierto,https://www.facebook.com/eldesconciertocl/,https://www.instagram.com/eldesconcierto/,Gonzalo Badal,Periodico Digital,Portal- Internet,https://www.youtube.com/channel/UC4QNCnFjERgw1DcRdA2Gj3w,Portal- Internet,
15,Página 7,https://www.pagina7.cl/,N,del BioBío,Concepción,Biobio Comunicaciones,https://twitter.com/Pagina7Chile,https://www.facebook.com/pagina7chile/,https://www.instagram.com/pagina7chile/,Familia Mosciatti,Periodico Digital,"Digital,Internet, Radio online",https://www.youtube.com/channel/UC6ya9-XwJzxv1b6Zj29tSvQ,"Digital,Internet, Radio online",
16,CIPER Chile,http://www.ciperchile.cl,N,Metropolitana,Santiago,Fundacion CIPER- Grupo Copesa,https://twitter.com/ciper,https://www.facebook.com/ciperchile/,https://www.instagram.com/ciper_chile/,,Periodico Digital,Portal/internet,https://www.youtube.com/user/ciperchile,Portal/internet,
17,AS Chile,http://chile.as.com/chile/,N,Metropolitana,Providencia,Grupo Prisa España,https://twitter.com/ASChile,https://www.facebook.com/AS.com.chile/,https://www.instagram.com/aschileoficial/,,Periodico Digital,Portal Internet,https://www.youtube.com/diarioas,Portal Internet,
18,Radio Villa Francia,http://www.radiovillafrancia.cl/,N,Metropolitana,Estacion Central,Centro Cultural de Comunicación y Educación Radiofónica ''Chasqui'',https://twitter.com/rvfradiopopular,https://www.facebook.com/RadioVillaFrancia1/,https://www.instagram.com/radiovillafrancia3/,,Radio,Radio + Portal Internet,https://www.youtube.com/user/RadioVillaFrancia1,Radio + Portal Internet,
19,Radio Cooperativa,https://www.cooperativa.cl/,N,Metropolitana,Santiago,Compañía Chilena de Comunicaciones,https://twitter.com/Cooperativa,https://www.facebook.com/Cooperativa/,https://www.instagram.com/cooperativa/,Fundación para las Comunicaciones Sociales,Radio,"Radio, Digital, WebTv",https://www.youtube.com/user/CooperativaFM,"Radio, Digital, WebTv",
20,El Conquistador,http://www.elconquistadorfm.com/,N,Metropolitana,Santiago,Comunicaciones C Y V S A ,https://twitter.com/FMConquistador,https://www.facebook.com/elconquistadorfm/,https://www.instagram.com/elconquistadorfm/,Joaquin Molfino,Radio,"Radio, Web",https://www.youtube.com/channel/UCV78WcodZ7Q2GCq5QQx4ROw,"Radio, Web",
21,Digital FM Chile,http://www.digitalfm.cl/,N,Metropolitana,Santiago,El Mercurio S.A.P.,https://twitter.com/DigitalFmChile,https://www.facebook.com/Digitalfmchile/,https://www.instagram.com/digitalfmchile/,Agustin Edwards,Radio,Radio,https://www.youtube.com/user/DigitalFmChile,Radio,
22,Radio Duna,http://www.duna.cl/,N,Metropolitana,Providencia,Grupo Copesa,https://twitter.com/RadioDuna,https://www.facebook.com/RadioDuna/,https://www.instagram.com/radioduna/,Alvaro Sahie,Radio,"Radio, Web",https://www.youtube.com/channel/UC2dUjKdv0sezxuflNK4w8Pg,"Radio, Web",
23,Radio BioBio,http://www.biobiochile.cl/?ref=radiobiobio,N,del BioBío,Concepcion,Grupo Mosciatti,https://twitter.com/biobio,https://www.facebook.com/RadioBioBio/,https://www.instagram.com/biobiochile/,Familia Mosciatti,Radio,,https://www.youtube.com/channel/UCuvM3c8rmdApmk-g22shZ7w,,
24,Radio ADN ,http://www.adnradio.cl/,N,Metropolitana,Providencia,Ibero Americana Radio Chile,https://twitter.com/adnradiochile,https://www.facebook.com/adncl/,https://www.instagram.com/adnchile/,Familia Polanco,Radio,"Radio, Digital, WebTv",https://www.youtube.com/user/adnradiochile,"Radio, Digital, WebTv",
25,Pudahuel,https://www.pudahuel.cl/,N,Metropolitana,Providencia,Ibero Americana Radio Chile,https://twitter.com/RadioPudahuel,https://www.facebook.com/RadioPudahuel/,https://www.instagram.com/radiopudahuel/,Familia Polanco,Radio,"Radio, WebTv, Digital",N.E,"Radio, WebTv, Digital",
26,Radio La Clave ,http://radiolaclave.cl/,N,Metropolitana,Providencia,Miguel Nasur,https://twitter.com/radiolaclave,https://www.facebook.com/radiolaclave/,https://www.instagram.com/radiolaclave/,Miguel Nasur,Radio,Radio,https://www.youtube.com/user/radiolaclave,Radio,
27,Radio Agricultura,http://www.radioagricultura.cl/,N,Metropolitana,Santiago,Sociedad Nacional de Agricultura,https://twitter.com/AgriculturaFM,https://www.facebook.com/RadioAgricultura/,https://www.instagram.com/radioagricultura/,,Radio,"Radio, Portal Internet, Radio Online",https://www.youtube.com/channel/UCBkkqRIsRTbio4W7MwAZiEw,"Radio, Portal Internet, Radio Online",
28,Radio Uchile,https://radio.uchile.cl/,N,Metropolitana,Nuñoa,Universidad de Chile,https://twitter.com/uchileradio,https://www.facebook.com/RadioUniversidaddeChile/,https://www.instagram.com/radiouchile/,Juna Pablo Cárdenas,Radio,"Radio, Diario, Digital",https://www.youtube.com/channel/UCLFjv-Saz8b2_01asg9IQ-w,"Radio, Diario, Digital",
29,Glamorama ,http://www.glamorama.cl,N,Metropolitana,Santiago,Grupo Copesa,https://twitter.com/GlamoramaCL,https://www.facebook.com/GlamoramaCL/,https://www.instagram.com/glamoramacl/,Alvaro Sahie,Sumplemento-papel,"Suplemento-papel, Portal Internet",https://www.youtube.com/channel/UCLyLmHXHRVloDYqMuSD0Qig,"Suplemento-papel, Portal Internet",
30,Tele 13 Noticias,Www.13.cl/t13,N,Metropolitana,Providencia,Grupo Canal 13,https://twitter.com/T13,https://www.facebook.com/teletrece/,https://www.instagram.com/teletrece/,Andrónico Luksic,TV Abierta,TV-Abierta-Portal-Internet,https://www.youtube.com/user/t13video,TV-Abierta-Portal-Internet,
31,Tele13Radio,http://www.t13.cl/radio,N,de Los Lagos,Santiago,Grupo Luksic,https://twitter.com/Tele13_radio,https://www.facebook.com/Tele13Radio/,https://www.instagram.com/tele13_radio/,Andronico Luksic,Radio,Radio Online/Podcast/ Portal Internet,N.E,Radio Online/Podcast/ Portal Internet,
32,El Deportivo,https://www.latercera.com/canal/el-deportivo/,N,Metropolitana,Santiago,Grupo Copesa,https://twitter.com/ElDeportivoLT,https://www.facebook.com/eldeportivoLT/,https://www.instagram.com/eldeportivolt,Alvaro Sahie,Diario Papel,Periodico Digital/ Portal Internet,https://www.youtube.com/playlist?list=PL00jFdGQghEnctMyvsGovyqd2GfcIE8oA,Periodico Digital/ Portal Internet,
33,Fortin Mapocho,http://www.fortinmapocho.cl  ,N,Metropolitana,Santiago,MAURICIO CATONI CONTRERAS,https://twitter.com/FortinOficial,https://www.facebook.com/fortinoficial/,https://www.instagram.com/fortinoficial/,MAURICIO CATONI CONTRERAS,Periodico Digital,Portal Internet,https://www.youtube.com/user/mcatoni,Portal Internet,
34,"Izquierda Diario, La",www.laizquierdadiario.cl,N,Metropolitana,Santiago,Red Internacional de Diarios (Trotskistas),https://twitter.com/LID_Chile,https://www.facebook.com/Laizquierdadiariochile/,https://www.instagram.com/laizquierdadiariocl/,?,Periodico Digital,Portal Internet,https://www.youtube.com/channel/UCkGgcyUS8ZLmYOZKaiVISdw,Portal Internet,
35,La cuarta,https://www.lacuarta.com,N,Metropolitana,Nuñoa,Grupo Copesa,https://twitter.com/lacuarta,https://www.facebook.com/DiarioLaCuarta/,https://www.instagram.com/lacuartacom/,Alvaro Sahie,Diario Papel,"Papel, Digital, WebTv",https://www.youtube.com/user/lacuarta2007,"Papel, Digital, WebTv",
36,emol,https://www.emol.com,N,Metropolitana,Santiago,El Mercurio S.A.P.,https://twitter.com/Emol,https://www.facebook.com/emolcl/,https://www.instagram.com/emolcom/,Agustin Edwards,Periodico Digital,Digital,N.E,Digital,
37,LUN,http://www.lun.com,N,Metropolitana,Santiago,El Mercurio S.A.P.,https://twitter.com/lun,https://www.facebook.com/LasUltimasNoticias/,https://www.instagram.com/lungram/,Agustin Edwards,Diario Papel,"Papel, digital",N.E,"Papel, digital",
